,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
4817,1.3333333333333333,100,80,Male,Inner Regional Australia,25
4818,4.0,80,240,Male,Outer Regional Australia,20
4819,3.75,50,225,Male,Inner Regional Australia,22
4820,23.25,110,1395,Male,Remote Australia,24
4823,19.416666666666668,100,1165,Male,Inner Regional Australia,47
4826,7.333333333333333,110,440,Male,Inner Regional Australia,79
4827,6.216666666666667,70,373,Female,Inner Regional Australia,16
4828,6.5,100,390,Female,Inner Regional Australia,19
4831,16.583333333333332,110,995,Male,Major Cities of Australia,17
4832,13.083333333333334,70,785,Female,Major Cities of Australia,33
4834,7.3,60,438,Male,Major Cities of Australia,29
4835,7.583333333333333,110,455,Female,Outer Regional Australia,39
4836,12.5,80,750,Male,Inner Regional Australia,31
4837,15.0,100,900,Male,Outer Regional Australia,31
4840,7.583333333333333,110,455,Male,Outer Regional Australia,41
4841,9.116666666666667,110,547,Male,Remote Australia,51
4842,6.5,110,390,Female,Remote Australia,67
4843,13.8,100,828,Male,Inner Regional Australia,67
4844,6.5,110,390,Male,Remote Australia,18
4845,8.916666666666666,60,535,Female,Major Cities of Australia,85
4847,6.366666666666666,50,382,Female,Major Cities of Australia,34
4848,8.183333333333334,50,491,Female,Outer Regional Australia,82
4849,10.916666666666666,60,655,Male,Major Cities of Australia,87
4851,10.0,40,600,Male,Major Cities of Australia,83
4852,17.833333333333332,60,1070,Male,Major Cities of Australia,84
4853,15.583333333333334,100,935,Female,Inner Regional Australia,84
4854,13.083333333333334,40,785,Female,Outer Regional Australia,80
4855,13.083333333333334,40,785,Male,Outer Regional Australia,96
4856,12.133333333333333,110,728,Male,Inner Regional Australia,82
4857,17.666666666666668,100,1060,Female,Inner Regional Australia,83
4860,14.75,100,885,Male,Major Cities of Australia,25
4861,13.166666666666666,60,790,Male,Major Cities of Australia,21
4862,7.433333333333334,100,446,Female,Inner Regional Australia,25
4863,13.75,80,825,Male,Inner Regional Australia,21
4864,17.166666666666668,100,1030,Male,Inner Regional Australia,27
4866,2.25,100,135,Male,Inner Regional Australia,52
4867,7.333333333333333,100,440,Male,Inner Regional Australia,34
4868,8.333333333333334,110,500,Male,Inner Regional Australia,31
4869,15.833333333333334,110,950,Female,Inner Regional Australia,28
4870,16.333333333333332,80,980,Male,Major Cities of Australia,33
4871,13.25,110,795,Female,Inner Regional Australia,64
4872,6.75,60,405,Male,Major Cities of Australia,45
4873,14.533333333333333,80,872,Male,Inner Regional Australia,61
4874,17.166666666666668,80,1030,Male,Outer Regional Australia,55
4875,12.75,50,765,Male,Major Cities of Australia,58
4877,17.166666666666668,70,1030,Male,Major Cities of Australia,40
4879,9.916666666666666,50,595,Female,Major Cities of Australia,42
4880,15.833333333333334,50,950,Male,Major Cities of Australia,49
4881,9.0,50,540,Male,Outer Regional Australia,65
4882,11.333333333333334,80,680,Female,Major Cities of Australia,65
4883,12.5,80,750,Male,Inner Regional Australia,70
4885,3.0,110,180,Male,Very Remote Australia,54
4886,19.166666666666668,70,1150,Female,Major Cities of Australia,68
4887,20.883333333333333,60,1253,Male,Major Cities of Australia,55
4888,22.733333333333334,60,1364,Male,Major Cities of Australia,58
4889,4.25,100,255,Male,Inner Regional Australia,43
4890,4.0,50,240,Male,Major Cities of Australia,65
4891,14.916666666666666,50,895,Female,Major Cities of Australia,78
4892,11.333333333333334,50,680,Female,Major Cities of Australia,83
4893,6.666666666666667,50,400,Female,Major Cities of Australia,79
4894,19.166666666666668,60,1150,Female,Major Cities of Australia,69
4895,9.666666666666666,40,580,Female,Major Cities of Australia,74
4896,14.5,60,870,Male,Major Cities of Australia,67
4897,17.65,60,1059,Female,Major Cities of Australia,66
4898,8.666666666666666,60,520,Male,Major Cities of Australia,71
4899,7.833333333333333,50,470,Male,Major Cities of Australia,72
4900,13.733333333333333,50,824,Male,Major Cities of Australia,82
4902,15.833333333333334,50,950,Male,Major Cities of Australia,3
4903,18.583333333333332,110,1115,Female,Inner Regional Australia,77
4904,19.166666666666668,50,1150,Male,Major Cities of Australia,94
4905,21.7,60,1302,Female,Major Cities of Australia,16
4906,21.233333333333334,110,1274,Male,Outer Regional Australia,22
4907,18.583333333333332,110,1115,Female,Inner Regional Australia,71
4908,1.15,80,69,Female,Major Cities of Australia,27
4909,4.0,80,240,Male,Outer Regional Australia,32
4910,22.5,100,1350,Male,Outer Regional Australia,23
4911,17.25,60,1035,Male,Major Cities of Australia,91
4912,16.416666666666668,100,985,Female,Inner Regional Australia,75
4913,23.666666666666668,50,1420,Male,Major Cities of Australia,22
4914,20.833333333333332,100,1250,Male,Outer Regional Australia,23
4915,2.4166666666666665,110,145,Male,Outer Regional Australia,22
4916,2.0,50,120,Male,Major Cities of Australia,18
4917,2.0,50,120,Male,Major Cities of Australia,25
4918,19.166666666666668,50,1150,Male,Inner Regional Australia,17
4920,0.16666666666666666,100,10,Male,Inner Regional Australia,36
4922,23.05,60,1383,Male,Major Cities of Australia,30
4924,3.183333333333333,40,191,Male,Major Cities of Australia,30
4927,18.333333333333332,100,1100,Female,Outer Regional Australia,47
4928,0.6666666666666666,110,40,Female,Outer Regional Australia,18
4929,23.25,80,1395,Male,Outer Regional Australia,24
4930,0.6666666666666666,110,40,Male,Outer Regional Australia,26
4931,1.5833333333333333,60,95,Male,Major Cities of Australia,36
4932,21.0,50,1260,Female,Inner Regional Australia,42
4934,16.1,80,966,Female,Remote Australia,25
4935,16.1,80,966,Male,Remote Australia,21
4936,8.133333333333333,80,488,Male,Major Cities of Australia,21
4937,15.033333333333333,60,902,Female,Major Cities of Australia,34
4940,11.0,80,660,Male,Major Cities of Australia,62
4941,16.5,100,990,Male,Inner Regional Australia,50
4942,12.916666666666666,60,775,Male,Major Cities of Australia,48
4943,15.5,70,930,Male,Outer Regional Australia,45
4944,8.116666666666667,110,487,Male,Inner Regional Australia,55
4946,15.3,100,918,Male,Outer Regional Australia,74
4947,14.416666666666666,80,865,Male,Outer Regional Australia,6
4949,10.0,100,600,Male,Outer Regional Australia,63
4950,10.5,100,630,Male,Inner Regional Australia,80
4951,12.0,100,720,Male,Inner Regional Australia,80
4952,15.583333333333334,100,935,Female,Inner Regional Australia,95
4953,15.583333333333334,100,935,Female,Inner Regional Australia,91
4954,15.583333333333334,100,935,Female,Inner Regional Australia,80
4955,14.25,110,855,Female,Inner Regional Australia,83
