,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
251,21,50,1301,Male,Inner Regional Australia,27
252,16,50,975,Male,Major Cities of Australia,19
253,17,50,1020,Male,Major Cities of Australia,17
254,6,70,360,Male,Major Cities of Australia,23
255,20,60,1255,Female,Major Cities of Australia,68
256,14,110,848,Male,Outer Regional Australia,36
257,4,60,240,Female,Major Cities of Australia,19
260,7,110,420,Female,Outer Regional Australia,35
261,17,100,1024,Male,Inner Regional Australia,30
262,21,50,1318,Male,Inner Regional Australia,81
263,14,60,840,Female,Major Cities of Australia,77
264,5,100,300,Male,Outer Regional Australia,37
265,19,70,1140,Male,Inner Regional Australia,52
266,3,110,225,Male,Major Cities of Australia,48
267,7,60,420,Male,Outer Regional Australia,53
268,22,100,1352,Male,Inner Regional Australia,22
269,10,60,604,Female,Major Cities of Australia,78
270,1,80,100,Male,Major Cities of Australia,26
271,3,100,180,Male,Outer Regional Australia,36
272,11,40,680,Female,Major Cities of Australia,64
273,23,50,1380,Male,Major Cities of Australia,24
274,11,60,694,Male,Major Cities of Australia,87
275,0,100,50,Male,Outer Regional Australia,51
276,15,50,918,Female,Inner Regional Australia,78
277,5,100,340,Male,Inner Regional Australia,36
279,4,100,240,Male,Outer Regional Australia,45
280,23,80,1380,Male,Major Cities of Australia,45
281,0,110,0,Male,Remote Australia,24
282,20,50,1236,Female,Major Cities of Australia,44
285,0,60,0,Male,Major Cities of Australia,32
286,5,90,325,Male,Inner Regional Australia,26
287,1,110,65,Male,Outer Regional Australia,50
288,22,80,1360,Male,Inner Regional Australia,27
289,23,100,1385,Male,Outer Regional Australia,30
290,2,100,120,Male,Inner Regional Australia,19
291,0,100,0,Male,Remote Australia,21
293,12,100,743,Female,Inner Regional Australia,19
294,14,80,840,Male,Outer Regional Australia,63
295,10,110,611,Male,Outer Regional Australia,51
296,14,80,878,Male,Inner Regional Australia,51
300,14,110,840,Female,Very Remote Australia,57
301,19,110,1150,Male,Outer Regional Australia,70
302,8,80,500,Female,Very Remote Australia,35
303,13,80,810,Male,Major Cities of Australia,71
304,13,80,805,Female,Major Cities of Australia,67
305,11,60,660,Male,Outer Regional Australia,84
306,14,100,840,Male,Outer Regional Australia,18
307,17,60,1020,Male,Inner Regional Australia,30
308,5,80,300,Male,Inner Regional Australia,86
310,8,100,480,Female,Inner Regional Australia,29
311,17,100,1020,Female,Very Remote Australia,37
312,16,100,960,Female,Inner Regional Australia,61
313,14,80,840,Female,Inner Regional Australia,43
314,8,100,480,Female,Outer Regional Australia,48
315,11,80,690,Male,Inner Regional Australia,64
316,15,60,900,Male,Major Cities of Australia,40
317,16,80,1010,Female,Outer Regional Australia,50
318,22,50,1320,Male,Major Cities of Australia,25
319,20,100,1200,Male,Outer Regional Australia,23
320,13,130,795,Male,Very Remote Australia,30
322,1,60,60,Male,Major Cities of Australia,27
323,14,50,878,Male,Major Cities of Australia,25
324,15,60,908,Male,Major Cities of Australia,52
325,18,70,1080,Male,Major Cities of Australia,29
327,6,80,360,Female,Remote Australia,47
328,17,80,1020,Male,Major Cities of Australia,26
329,6,50,360,Male,Inner Regional Australia,64
330,6,100,360,Male,Inner Regional Australia,18
331,6,50,360,Male,Outer Regional Australia,13
332,13,50,780,Male,Inner Regional Australia,65
333,15,100,938,Male,Outer Regional Australia,66
334,16,100,979,Male,Inner Regional Australia,67
335,13,100,808,Female,Inner Regional Australia,69
336,13,50,835,Male,Major Cities of Australia,73
337,15,60,937,Male,Major Cities of Australia,72
338,10,100,645,Male,Inner Regional Australia,66
