,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
245,12,100,720,Female,Inner Regional Australia,79,2021,7,2
246,12,50,740,Female,Major Cities of Australia,84,2021,7,1
247,16,60,975,Male,Inner Regional Australia,77,2021,7,1
248,19,80,1178,Female,Outer Regional Australia,53,2021,7,2
249,16,100,960,Female,Inner Regional Australia,24,2021,7,2
250,14,110,848,Female,Outer Regional Australia,25,2021,7,2
251,21,50,1301,Male,Inner Regional Australia,27,2021,7,2
252,16,50,975,Male,Major Cities of Australia,19,2021,7,2
253,17,50,1020,Male,Major Cities of Australia,17,2021,7,1
254,6,70,360,Male,Major Cities of Australia,23,2021,7,2
255,20,60,1255,Female,Major Cities of Australia,68,2021,7,2
256,14,110,848,Male,Outer Regional Australia,36,2021,7,2
257,4,60,240,Female,Major Cities of Australia,19,2021,7,1
260,7,110,420,Female,Outer Regional Australia,35,2021,7,2
261,17,100,1024,Male,Inner Regional Australia,30,2021,7,1
262,21,50,1318,Male,Inner Regional Australia,81,2021,7,1
263,14,60,840,Female,Major Cities of Australia,77,2021,7,2
264,5,100,300,Male,Outer Regional Australia,37,2021,7,1
265,19,70,1140,Male,Inner Regional Australia,52,2021,7,1
266,3,110,225,Male,Major Cities of Australia,48,2021,7,1
267,7,60,420,Male,Outer Regional Australia,53,2021,7,1
268,22,100,1352,Male,Inner Regional Australia,22,2021,7,1
269,10,60,604,Female,Major Cities of Australia,78,2021,7,1
270,1,80,100,Male,Major Cities of Australia,26,2021,7,2
271,3,100,180,Male,Outer Regional Australia,36,2021,7,1
272,11,40,680,Female,Major Cities of Australia,64,2021,7,1
273,23,50,1380,Male,Major Cities of Australia,24,2021,7,1
274,11,60,694,Male,Major Cities of Australia,87,2021,7,1
275,0,100,50,Male,Outer Regional Australia,51,2021,7,1
276,15,50,918,Female,Inner Regional Australia,78,2021,7,1
277,5,100,340,Male,Inner Regional Australia,36,2021,6,1
279,4,100,240,Male,Outer Regional Australia,45,2021,6,1
280,23,80,1380,Male,Major Cities of Australia,45,2021,6,1
281,0,110,0,Male,Remote Australia,24,2021,6,1
282,20,50,1236,Female,Major Cities of Australia,44,2021,6,1
285,0,60,0,Male,Major Cities of Australia,32,2021,6,1
286,5,90,325,Male,Inner Regional Australia,26,2021,6,1
287,1,110,65,Male,Outer Regional Australia,50,2021,6,2
288,22,80,1360,Male,Inner Regional Australia,27,2021,6,1
289,23,100,1385,Male,Outer Regional Australia,30,2021,6,1
290,2,100,120,Male,Inner Regional Australia,19,2021,6,1
291,0,100,0,Male,Remote Australia,21,2021,6,1
293,12,100,743,Female,Inner Regional Australia,19,2021,6,2
